sku_id,tienda,marca,formato_raw,precio_raw,rating,opiniones,precio_kg,especialidad,id_registro_unico,marca_cat,especialidad_cat
Veterinary Diets Gastroenteric pienso para perros,Kiwoko,Advance,"Veterinary Diets Gastroenteric pienso para perros 5.35€ el kg
Desde 5.35€ / kg",28.59,4.7,155,5.35,Digestive,Advance_Digestive_Veterinary Diets Gastroenteric pienso para perros,1,2
Prescription Diet j/d Metabolic + Mobility pienso para perros,Kiwoko,Hill's,"Prescription Diet j/d Metabolic + Mobility pienso para perros 7.51€ el kg
Desde 7.51€ / kg",55.69,4.8,673,7.51,Weight management,Hill's_Weight management_Prescription Diet j/d Metabolic + Mobility pienso para perros,0,1
Prescription Diet Derm Complete pienso para perros,Kiwoko,Hill's,"Prescription Diet Derm Complete pienso para perros 7.80€ el kg
Desde 7.80€ / kg",19.99,4.8,100,7.8,General Care,Hill's_General Care_Prescription Diet Derm Complete pienso para perros,0,0
Veterinary Diets Weight Balance Medium/Maxi  pienso para perros,Kiwoko,Advance,"Veterinary Diets Weight Balance Medium/Maxi  pienso para perros 6.21€ el kg
Desde 6.21€ / kg",29.19,4.6,93,6.21,Weight management,Advance_Weight management_Veterinary Diets Weight Balance Medium/Maxi  pienso para perros,1,1
Veterinary Gastrointestinal Low Fat pienso para perros,Kiwoko,Royal Canin,"Veterinary Gastrointestinal Low Fat pienso para perros 7.84€ el kg
Desde 7.84€ / kg",17.09,4.7,283,7.84,Digestive,Royal Canin_Digestive_Veterinary Gastrointestinal Low Fat pienso para perros,4,2
Veterinary Diet Satiety Weight Management pienso para perros,Kiwoko,Royal Canin,"Veterinary Diet Satiety Weight Management pienso para perros 6.33€ el kg
Desde 6.33€ / kg",56.99,4.8,200,6.33,Weight management,Royal Canin_Weight management_Veterinary Diet Satiety Weight Management pienso para perros,4,1
Veterinary Diets Hypoallergenic Pienso para perros,Kiwoko,Nath,"Veterinary Diets Hypoallergenic Pienso para perros 5.15€ el kg
Desde 5.15€ / kg",21.99,4.7,241,5.15,Hypoallergenic,Nath_Hypoallergenic_Veterinary Diets Hypoallergenic Pienso para perros,3,3
Prescription Diet Gastrointestinal Biome Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Gastrointestinal Biome Pollo pienso para perros 7.64€ el kg
Desde 7.64€ / kg",19.29,4.8,341,7.64,Digestive,Hill's_Digestive_Prescription Diet Gastrointestinal Biome Pollo pienso para perros,0,2
Veterinary Diets Gastrointestinal pienso para perros,Kiwoko,Nath,"Veterinary Diets Gastrointestinal pienso para perros 4.67€ el kg
Desde 4.67€ / kg",19.99,4.8,129,4.67,Digestive,Nath_Digestive_Veterinary Diets Gastrointestinal pienso para perros,3,2
Prescription Diet j/d Metabolic + Mobility pienso para perros,Kiwoko,Hill's,"Prescription Diet j/d Metabolic + Mobility pienso para perros 7.51€ el kg
Desde 7.51€ / kg",55.69,4.8,673,7.51,Weight management,Hill's_Weight management_Prescription Diet j/d Metabolic + Mobility pienso para perros,0,1
Weight Balance Pollo Sobre para perros mini,Kiwoko,Advance,"Weight Balance Pollo Sobre para perros mini 16.58€ el kg
Desde 16.58€ / kg",2.59,5.0,11,16.58,Weight management,Advance_Weight management_Weight Balance Pollo Sobre para perros mini,1,1
Veterinary Diets Renal pienso para perros,Kiwoko,Nath,"Veterinary Diets Renal pienso para perros 4.67€ el kg
Desde 4.67€ / kg",19.99,4.7,92,4.67,General Care,Nath_General Care_Veterinary Diets Renal pienso para perros,3,0
Prescription Diet Metabolic Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Metabolic Pollo pienso para perros 6.86€ el kg
Desde 6.86€ / kg",24.29,4.8,630,6.86,Weight management,Hill's_Weight management_Prescription Diet Metabolic Pollo pienso para perros,0,1
Veterinary Diets Mobility Pienso para perros,Kiwoko,Nath,"Veterinary Diets Mobility Pienso para perros 4.91€ el kg
Desde 4.91€ / kg",21.99,4.6,47,4.91,Joint Care,Nath_Joint Care_Veterinary Diets Mobility Pienso para perros,3,6
Veterinary Diets Weight Balance Medium/Maxi  pienso para perros,Kiwoko,Advance,"Veterinary Diets Weight Balance Medium/Maxi  pienso para perros 6.21€ el kg
Desde 6.21€ / kg",29.19,4.6,93,6.21,Weight management,Advance_Weight management_Veterinary Diets Weight Balance Medium/Maxi  pienso para perros,1,1
Veterinary Diet Satiety Weight Management pienso para perros,Kiwoko,Royal Canin,"Veterinary Diet Satiety Weight Management pienso para perros 6.33€ el kg
Desde 6.33€ / kg",56.99,4.8,200,6.33,Weight management,Royal Canin_Weight management_Veterinary Diet Satiety Weight Management pienso para perros,4,1
Veterinary Diets Gastroenteric pienso para perros,Kiwoko,Advance,"Veterinary Diets Gastroenteric pienso para perros 5.35€ el kg
Desde 5.35€ / kg",28.59,4.7,155,5.35,Digestive,Advance_Digestive_Veterinary Diets Gastroenteric pienso para perros,1,2
Veterinary Diets Gastrointestinal pienso para perros,Kiwoko,Nath,"Veterinary Diets Gastrointestinal pienso para perros 4.67€ el kg
Desde 4.67€ / kg",19.99,4.8,129,4.67,Digestive,Nath_Digestive_Veterinary Diets Gastrointestinal pienso para perros,3,2
Prescription Diet j/d Metabolic + Mobility pienso para perros,Kiwoko,Hill's,"Prescription Diet j/d Metabolic + Mobility pienso para perros 7.51€ el kg
Desde 7.51€ / kg",55.69,4.8,673,7.51,Weight management,Hill's_Weight management_Prescription Diet j/d Metabolic + Mobility pienso para perros,0,1
Prescription Diet Metabolic Mini Weight Loss pienso para perros,Kiwoko,Hill's,"Prescription Diet Metabolic Mini Weight Loss pienso para perros 8.74€ el kg
Desde 8.74€ / kg",13.69,4.8,444,8.74,Weight management,Hill's_Weight management_Prescription Diet Metabolic Mini Weight Loss pienso para perros,0,1
Gastroenteric Pollo sobre para perros mini,Kiwoko,Advance,"Gastroenteric Pollo sobre para perros mini 16.58€ el kg
Desde 16.58€ / kg",2.59,4.7,26,16.58,Digestive,Advance_Digestive_Gastroenteric Pollo sobre para perros mini,1,2
Weight Balance Pollo Sobre para perros mini,Kiwoko,Advance,"Weight Balance Pollo Sobre para perros mini 16.58€ el kg
Desde 16.58€ / kg",2.59,5.0,11,16.58,Weight management,Advance_Weight management_Weight Balance Pollo Sobre para perros mini,1,1
Veterinary Diets Gastrointestinal Salmón lata para perros,Kiwoko,Nath,"Veterinary Diets Gastrointestinal Salmón lata para perros 5.51€ el kg
Desde 5.51€ / kg",3.29,4.7,69,5.51,Digestive,Nath_Digestive_Veterinary Diets Gastrointestinal Salmón lata para perros,3,2
Veterinary Gastrointestinal Low Fat pienso para perros,Kiwoko,Royal Canin,"Veterinary Gastrointestinal Low Fat pienso para perros 7.84€ el kg
Desde 7.84€ / kg",17.09,4.7,283,7.84,Digestive,Royal Canin_Digestive_Veterinary Gastrointestinal Low Fat pienso para perros,4,2
Veterinary Diet Satiety Weight Management pienso para perros,Kiwoko,Royal Canin,"Veterinary Diet Satiety Weight Management pienso para perros 6.33€ el kg
Desde 6.33€ / kg",56.99,4.8,200,6.33,Weight management,Royal Canin_Weight management_Veterinary Diet Satiety Weight Management pienso para perros,4,1
Veterinary Diets Gastroenteric pienso para perros,Kiwoko,Advance,"Veterinary Diets Gastroenteric pienso para perros 5.35€ el kg
Desde 5.35€ / kg",28.59,4.7,155,5.35,Digestive,Advance_Digestive_Veterinary Diets Gastroenteric pienso para perros,1,2
Prescription Diet Gastrointestinal Biome Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Gastrointestinal Biome Pollo pienso para perros 7.64€ el kg
Desde 7.64€ / kg",19.29,4.8,341,7.64,Digestive,Hill's_Digestive_Prescription Diet Gastrointestinal Biome Pollo pienso para perros,0,2
Veterinary Diets Renal pienso para perros,Kiwoko,Nath,"Veterinary Diets Renal pienso para perros 4.67€ el kg
Desde 4.67€ / kg",19.99,4.7,92,4.67,General Care,Nath_General Care_Veterinary Diets Renal pienso para perros,3,0
Veterinary Hypoallergenic pienso para perros,Kiwoko,Royal Canin,"Veterinary Hypoallergenic pienso para perros 7.00€ el kg
Desde 7.00€ / kg",28.09,4.7,288,7.0,Hypoallergenic,Royal Canin_Hypoallergenic_Veterinary Hypoallergenic pienso para perros,4,3
Veterinary Diets Weight Balance Medium/Maxi  pienso para perros,Kiwoko,Advance,"Veterinary Diets Weight Balance Medium/Maxi  pienso para perros 6.21€ el kg
Desde 6.21€ / kg",29.19,4.6,93,6.21,Weight management,Advance_Weight management_Veterinary Diets Weight Balance Medium/Maxi  pienso para perros,1,1
Prescription Diet Food Sensitives z/d pienso para perros,Kiwoko,Hill's,"Prescription Diet Food Sensitives z/d pienso para perros 9.02€ el kg
Desde 9.02€ / kg",41.99,4.8,414,9.02,Dermatological,Hill's_Dermatological_Prescription Diet Food Sensitives z/d pienso para perros,0,4
Veterinary Diets Hypoallergenic Pienso para perros,Kiwoko,Nath,"Veterinary Diets Hypoallergenic Pienso para perros 5.15€ el kg
Desde 5.15€ / kg",21.99,4.7,241,5.15,Hypoallergenic,Nath_Hypoallergenic_Veterinary Diets Hypoallergenic Pienso para perros,3,3
Prescription Diet Metabolic Mini Weight Loss pienso para perros,Kiwoko,Hill's,"Prescription Diet Metabolic Mini Weight Loss pienso para perros 8.74€ el kg
Desde 8.74€ / kg",13.69,4.8,444,8.74,Weight management,Hill's_Weight management_Prescription Diet Metabolic Mini Weight Loss pienso para perros,0,1
Weight Balance Pollo Sobre para perros mini,Kiwoko,Advance,"Weight Balance Pollo Sobre para perros mini 16.58€ el kg
Desde 16.58€ / kg",2.59,5.0,11,16.58,Weight management,Advance_Weight management_Weight Balance Pollo Sobre para perros mini,1,1
Prescription Diet Urinary Care c/d Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Urinary Care c/d Pollo pienso para perros 6.74€ el kg
Desde 6.74€ / kg",16.99,4.8,203,6.74,Urinary,Hill's_Urinary_Prescription Diet Urinary Care c/d Pollo pienso para perros,0,5
Prescription Diet Gastrointestinal Biome Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Gastrointestinal Biome Pollo pienso para perros 7.64€ el kg
Desde 7.64€ / kg",19.29,4.8,341,7.64,Digestive,Hill's_Digestive_Prescription Diet Gastrointestinal Biome Pollo pienso para perros,0,2
Veterinary Diets Atopic Mini pienso para perros,Kiwoko,Advance,"Veterinary Diets Atopic Mini pienso para perros 9.36€ el KG
Desde 9.36€ / kg",16.19,4.9,21,9.36,Dermatological,Advance_Dermatological_Veterinary Diets Atopic Mini pienso para perros,1,4
Veterinary Diets Struvite pienso para perros,Kiwoko,Nath,"Veterinary Diets Struvite pienso para perros 4.67€ el kg
Desde 4.67€ / kg",19.99,4.7,134,4.67,Urinary,Nath_Urinary_Veterinary Diets Struvite pienso para perros,3,5
Prescription Diet Metabolic Mini Weight Loss pienso para perros,Kiwoko,Hill's,"Prescription Diet Metabolic Mini Weight Loss pienso para perros 8.74€ el kg
Desde 8.74€ / kg",13.69,4.8,444,8.74,Weight management,Hill's_Weight management_Prescription Diet Metabolic Mini Weight Loss pienso para perros,0,1
Prescription Diet Derm Complete pienso para perros,Kiwoko,Hill's,"Prescription Diet Derm Complete pienso para perros 7.80€ el kg
Desde 7.80€ / kg",19.99,4.8,100,7.8,General Care,Hill's_General Care_Prescription Diet Derm Complete pienso para perros,0,0
Prescription Diet Metabolic Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Metabolic Pollo pienso para perros 6.86€ el kg
Desde 6.86€ / kg",24.29,4.8,630,6.86,Weight management,Hill's_Weight management_Prescription Diet Metabolic Pollo pienso para perros,0,1
Veterinary Diets Gastrointestinal Salmón lata para perros,Kiwoko,Nath,"Veterinary Diets Gastrointestinal Salmón lata para perros 5.51€ el kg
Desde 5.51€ / kg",3.29,4.7,69,5.51,Digestive,Nath_Digestive_Veterinary Diets Gastrointestinal Salmón lata para perros,3,2
Veterinary Diet Satiety Weight Management pienso para perros,Kiwoko,Royal Canin,"Veterinary Diet Satiety Weight Management pienso para perros 6.33€ el kg
Desde 6.33€ / kg",56.99,4.8,200,6.33,Weight management,Royal Canin_Weight management_Veterinary Diet Satiety Weight Management pienso para perros,4,1
Veterinary Diets Renal pienso para perros,Kiwoko,Nath,"Veterinary Diets Renal pienso para perros 4.67€ el kg
Desde 4.67€ / kg",19.99,4.7,92,4.67,General Care,Nath_General Care_Veterinary Diets Renal pienso para perros,3,0
Prescription Diet Metabolic Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Metabolic Pollo pienso para perros 6.86€ el kg
Desde 6.86€ / kg",24.29,4.8,630,6.86,Weight management,Hill's_Weight management_Prescription Diet Metabolic Pollo pienso para perros,0,1
Veterinary Hypoallergenic pienso para perros,Kiwoko,Royal Canin,"Veterinary Hypoallergenic pienso para perros 7.00€ el kg
Desde 7.00€ / kg",28.09,4.7,288,7.0,Hypoallergenic,Royal Canin_Hypoallergenic_Veterinary Hypoallergenic pienso para perros,4,3
Prescription Diet Digestive Care i/d Low Fat Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Digestive Care i/d Low Fat Pollo pienso para perros 6.90€ el kg
Desde 6.90€ / kg",17.49,4.8,268,6.9,General Care,Hill's_General Care_Prescription Diet Digestive Care i/d Low Fat Pollo pienso para perros,0,0
Prescription Diet Gastrointestinal Biome Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Gastrointestinal Biome Pollo pienso para perros 7.64€ el kg
Desde 7.64€ / kg",19.29,4.8,341,7.64,Digestive,Hill's_Digestive_Prescription Diet Gastrointestinal Biome Pollo pienso para perros,0,2
Veterinary Diets Atopic Mini pienso para perros,Kiwoko,Advance,"Veterinary Diets Atopic Mini pienso para perros 9.36€ el KG
Desde 9.36€ / kg",16.19,4.9,21,9.36,Dermatological,Advance_Dermatological_Veterinary Diets Atopic Mini pienso para perros,1,4
Veterinary Diets Gastrointestinal pienso para perros,Kiwoko,Nath,"Veterinary Diets Gastrointestinal pienso para perros 4.67€ el kg
Desde 4.67€ / kg",19.99,4.8,129,4.67,Digestive,Nath_Digestive_Veterinary Diets Gastrointestinal pienso para perros,3,2
Veterinary Diets Struvite pienso para perros,Kiwoko,Nath,"Veterinary Diets Struvite pienso para perros 4.67€ el kg
Desde 4.67€ / kg",19.99,4.7,134,4.67,Urinary,Nath_Urinary_Veterinary Diets Struvite pienso para perros,3,5
Gastroenteric Pollo sobre para perros mini,Kiwoko,Advance,"Gastroenteric Pollo sobre para perros mini 16.58€ el kg
Desde 16.58€ / kg",2.59,4.7,26,16.58,Digestive,Advance_Digestive_Gastroenteric Pollo sobre para perros mini,1,2
Veterinary Diets Renal pienso para perros,Kiwoko,Nath,"Veterinary Diets Renal pienso para perros 4.67€ el kg
Desde 4.67€ / kg",19.99,4.7,92,4.67,General Care,Nath_General Care_Veterinary Diets Renal pienso para perros,3,0
Prescription Diet Digestive Care i/d Low Fat Pollo pienso para perros,Kiwoko,Hill's,"Prescription Diet Digestive Care i/d Low Fat Pollo pienso para perros 6.90€ el kg
Desde 6.90€ / kg",17.49,4.8,268,6.9,General Care,Hill's_General Care_Prescription Diet Digestive Care i/d Low Fat Pollo pienso para perros,0,0
Veterinary Diets Weight Balance Medium/Maxi  pienso para perros,Kiwoko,Advance,"Veterinary Diets Weight Balance Medium/Maxi  pienso para perros 6.21€ el kg
Desde 6.21€ / kg",29.19,4.6,93,6.21,Weight management,Advance_Weight management_Veterinary Diets Weight Balance Medium/Maxi  pienso para perros,1,1
Prescription Diet Digestive i/d Care Low Fat Estofado de Pollo y Verduras lata para perros,Kiwoko,Hill's,"Prescription Diet Digestive i/d Care Low Fat Estofado de Pollo y Verduras lata para perros 12.57€ el kg
Desde 12.57€ / kg",2.59,4.7,223,12.57,General Care,Hill's_General Care_Prescription Diet Digestive i/d Care Low Fat Estofado de Pollo y Verduras lata para perros,0,0
Prescription Diet z/d Food Sensitivities Mini para perros,Kiwoko,Hill's,"Prescription Diet z/d Food Sensitivities Mini para perros 10.21€ el kg
Desde 10.21€ / kg",14.69,4.9,163,10.21,General Care,Hill's_General Care_Prescription Diet z/d Food Sensitivities Mini para perros,0,0
Veterinary Diets Atopic Mini pienso para perros,Kiwoko,Advance,"Veterinary Diets Atopic Mini pienso para perros 9.36€ el KG
Desde 9.36€ / kg",16.19,4.9,21,9.36,Dermatological,Advance_Dermatological_Veterinary Diets Atopic Mini pienso para perros,1,4
Prescription Diet j/d Metabolic + Mobility pienso para perros,Kiwoko,Hill's,"Prescription Diet j/d Metabolic + Mobility pienso para perros 7.51€ el kg
Desde 7.51€ / kg",55.69,4.8,673,7.51,Weight management,Hill's_Weight management_Prescription Diet j/d Metabolic + Mobility pienso para perros,0,1
Prescription Diet Metabolic Mini Weight Loss pienso para perros,Kiwoko,Hill's,"Prescription Diet Metabolic Mini Weight Loss pienso para perros 8.74€ el kg
Desde 8.74€ / kg",13.69,4.8,444,8.74,Weight management,Hill's_Weight management_Prescription Diet Metabolic Mini Weight Loss pienso para perros,0,1
Veterinary Diets Renal pienso para perros,Kiwoko,Nath,"Veterinary Diets Renal pienso para perros 4.67€ el kg
Desde 4.67€ / kg",19.99,4.7,92,4.67,General Care,Nath_General Care_Veterinary Diets Renal pienso para perros,3,0
Veterinary Diets Gastrointestinal Salmón lata para perros,Kiwoko,Nath,"Veterinary Diets Gastrointestinal Salmón lata para perros 5.51€ el kg
Desde 5.51€ / kg",3.29,4.7,69,5.51,Digestive,Nath_Digestive_Veterinary Diets Gastrointestinal Salmón lata para perros,3,2
Veterinary Diets Weight Balance Medium/Maxi  pienso para perros,Kiwoko,Advance,"Veterinary Diets Weight Balance Medium/Maxi  pienso para perros 6.21€ el kg
Desde 6.21€ / kg",29.19,4.6,93,6.21,Weight management,Advance_Weight management_Veterinary Diets Weight Balance Medium/Maxi  pienso para perros,1,1
Veterinary Gastrointestinal Low Fat pienso para perros,Kiwoko,Royal Canin,"Veterinary Gastrointestinal Low Fat pienso para perros 7.84€ el kg
Desde 7.84€ / kg",17.09,4.7,283,7.84,Digestive,Royal Canin_Digestive_Veterinary Gastrointestinal Low Fat pienso para perros,4,2
Veterinary Diet Satiety Weight Management pienso para perros,Kiwoko,Royal Canin,"Veterinary Diet Satiety Weight Management pienso para perros 6.33€ el kg
Desde 6.33€ / kg",56.99,4.8,200,6.33,Weight management,Royal Canin_Weight management_Veterinary Diet Satiety Weight Management pienso para perros,4,1
Prescription Diet Digestive i/d Care Low Fat Estofado de Pollo y Verduras lata para perros,Kiwoko,Hill's,"Prescription Diet Digestive i/d Care Low Fat Estofado de Pollo y Verduras lata para perros 12.57€ el kg
Desde 12.57€ / kg",2.59,4.7,223,12.57,General Care,Hill's_General Care_Prescription Diet Digestive i/d Care Low Fat Estofado de Pollo y Verduras lata para perros,0,0
